,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
77,Josh Doig,sct SCO,DF,Sassuolo,24-098,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2f69d881
78,Benjamín Domínguez,ar ARG,MF,Sassuolo,22-339,2003,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a83b47fa
79,Anastasios Douvikas,gr GRE,FW,Como,27-022,1999,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches,853ca71c
80,Enzo Ebosse,cm CMR,DF,Udinese,27-166,1999,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9ba7b4fa
81,Jurgen Ekkelenkamp,nl NED,MF,Udinese,26-141,2000,1,1,84,0.9,0,1,1,0,0,0,0,0,0.00,1.07,1.07,0.00,1.07,Matches,73d6a176
82,Mikael Ellertsson,is ISL,MF,Genoa,24-166,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c55967eb
83,Elif Elmas,mk MKD,FWMF,Atalanta,26-334,1999,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cf007308
84,Nesta Elphege,fr FRA,FW,Parma,25-227,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a3f86b82
85,Francesco Esposito,it ITA,FW,Inter,21-057,2005,1,1,90,1.0,1,1,2,1,0,0,0,0,1.00,1.00,2.00,1.00,2.00,Matches,041e5f1f
86,Pervis Estupiñán,ec ECU,MF,Milan,28-215,1998,1,1,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d38fdf53
87,Wladimiro Falcone,it ITA,GK,Lecce,31-134,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9f5a610b
88,Jacopo Fazzini,it ITA,MF,Cagliari,23-161,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,06b08c45
89,Mattia Felici,it ITA,MF,Cagliari,25-129,2001,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,38aa2612
90,Seydou Fini,it ITA,MF,Frosinone,20-083,2006,1,1,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6411925d
91,Kian Fitz-Jim,nl NED,MF,Torino,23-050,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d4c6ba22
92,Manga Foe Ondoa,fr FRA,MF,Monza,20-255,2005,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e66703bc
93,Omari Forson,eng ENG,MF,Monza,22-035,2004,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1b9728b0
94,Niccolò Fortini,it ITA,MF,Torino,20-192,2006,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ed336580
95,Bartol Franjić,hr CRO,DF,Venezia,26-222,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,697dc00a
96,Morten Frendrup,dk DEN,MF,Genoa,25-139,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f4d60499
97,Matteo Gabbia,it ITA,DF,Milan,26-307,1999,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c235e803
98,Tiago Gabriel,pt POR,DF,Lecce,21-241,2004,1,0,17,0.2,1,0,1,1,0,0,0,0,5.29,0.00,5.29,5.29,5.29,Matches,19452285
99,Gianluca Gaetano,it ITA,MF,Atalanta,26-111,2000,1,1,90,1.0,0,1,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,Matches,3b387cc7
100,Nicolas Galazzi,it ITA,MF,Monza,25-249,2000,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a796492f
101,Antonino Gallo,it ITA,DF,Lecce,26-231,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c74d63ac
102,Omri Gandelman,il ISR,MF,Lecce,26-100,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e4b121b3
103,Willem Geubbels,fr FRA,FW,Lecce,25-008,2001,1,1,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9836e892
104,Mario Gila,es ESP,DF,Milan,25-360,2000,1,1,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9c435456
105,Gvidas Gineitis,lt LTU,MF,Torino,22-131,2004,1,1,90,1.0,0,1,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,Matches,548bd0de
106,Unai Gómez,es ESP,MF,Udinese,23-091,2003,1,0,6,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,37db6cae
107,Olaf Gorter,nl NED,MF,Lecce,21-205,2005,1,1,60,0.7,1,0,1,1,0,0,0,0,1.50,0.00,1.50,1.50,1.50,Matches,7b2e8e08
108,Idrissa Guèye,sn SEN,FW,Udinese,19-342,2006,1,1,71,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bfecfbde
109,Antoine Hainaut,fr FRA,MF,Venezia,24-187,2002,1,1,84,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6503f220
110,Ridgeciano Haps,sr SUR,DFMF,Venezia,33-073,1993,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c8d7131c
111,Luis Hasa,al ALB,MF,Frosinone,22-230,2004,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ab4f1aa9
112,Luis Henrique,br BRA,MF,Inter,24-253,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f36d5624
113,Rasmus Højlund,dk DEN,FW,Napoli,23-201,2003,1,1,77,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,491a433d
